"","NAME","funding","subsidy","pop_Urban","funding_per_urban_capita","subsidy_per_urban_capita","percent_urban_pop","percent_urban_area","percent_urban_overbudened","pop_below_MHI"
"1","Beaver",55082516.64,1592241,119715,460.113742137577,13.3002631249217,0.7117,0.201,0.190677859917304,35875.3888
"2","Forest",5749974.15,2981510,0,0,0,0,0,0,924.6216
"3","Tioga",5688555,0,0,0,0,0,0,0,8296.394
"4","Dauphin",79021089.61,0,243656,324.314154422629,0,0.8508,0.2233,0.244344485668319,58488.9028
"5","Wayne",8962296.68,1835424,7018,1277.04426902251,261.530920490168,0.1372,0.0076,0,9845.98
"6","Greene",4086000,0,8754,466.758053461275,0,0.2435,0.007,0,6998.18313333333
"7","Jefferson",6567589.41,1510765,11792,556.952968962008,128.117791723202,0.265,0.0123,0.0485922659430122,9067.5683
"8","Snyder",11799000,0,11733,1005.62515980568,0,0.2953,0.023,0,7207.50426666667
"9","Clarion",3858927.7,2605406,5662,681.548516425291,460.156481808548,0.152,0.0056,0.0298481102084069,7391.285
"10","Clearfield",88317000,4433103,31090,2840.68832422001,142.589353489868,0.3859,0.0191,0.140270183338694,15760.0998
"11","Indiana",0,0,33387,0,0,0.4011,0.0224,0.0920717644592206,16123.117
"12","Perry",0,0,2972,0,0,0.0648,0.0052,0,9020.74184
"13","Cameron",0,0,0,0,0,0,0,0,1097.6636
"14","Butler",7975178.88,4891171,109698,72.7012240879505,44.5876041495743,0.5661,0.1038,0.063975642217725,39818.57072
"15","Philadelphia",128491720,0,1603797,80.1171968771609,0,1,0.9957,0.423741907485798,330983.7304
"16","Fulton",0,0,0,0,0,0,0,0,2995.2544
"17","Bradford",0,0,16192,0,0,0.27,0.0071,0.0662672924901186,12158.44
"18","Huntingdon",0,0,11304,0,0,0.2564,0.0047,0,7885.52
"19","Bedford",8180531.09,2427879,4387,1864.72101436061,553.425803510372,0.0922,0.004,0.341691360838842,9768.0181
"20","Lawrence",83898157.55,34216016,49394,1698.54957181034,692.716038385229,0.5739,0.0901,0.394643074057578,17964.9195
"21","Clinton",1000000,0,19191,52.1077588452921,0,0.5124,0.0144,0,7444.6718
"22","Columbia",2452147.47,0,35685,68.7164766708701,0,0.5513,0.0412,0.0422026061370324,12936.3548
"23","Berks",832739,0,314967,2.64389285226706,0,0.7344,0.1388,0.403108897122556,80609.0316
"24","Mercer",7784172.09,310639,57601,135.139530390097,5.3929445669346,0.5206,0.054,0.263728060276731,22820.4627
"25","Schuylkill",0,0,75653,0,0,0.5289,0.0391,0.26996946585066,28675.4842666667
"26","Sullivan",0,0,0,0,0,0,0,0,1249.946
"27","Northumberland",5498836,4578964,59373,92.6150944031799,77.1219914776077,0.6478,0.0486,0.221110605830933,18792.2848
"28","Cambria",96993894.8,36388653.1,71967,1347.75514888768,505.629706671113,0.5392,0.0587,0.206038878930621,27476.8797
"29","Lackawanna",2326900,0,177812,13.0862933885227,0,0.8236,0.163,0.0773626076980181,43516.9659333333
"30","Wyoming",13326350,10008698,1219,10932.1985233798,8210.58080393765,0.0468,0.002,0,5413.9744
